Situation,Location,Date Reported,Incident/Case#,Date Occured,Time Occured,Summary,Disposition
"Welfare Check
","Genesee Avenue/ Campus Point Drive
","2/16/2024
","2402160010
","2/16/2024
","3:24 AM
","Possible camp on east curb line
","Field Interview
"
"Incomplete/ Accidental Landline 911 Call
","Voigt Drive
","2/16/2024
","2402160013
","2/16/2024
","4:44 AM
","Subject continuously dialing 911 on same payphone and hanging up
","Checks OK
"
"Incomplete/ Accidental Wireless 911 Call
","Costa Verde Blvd
","2/16/2024
","2402160014
","2/16/2024
","4:47 AM
",,"Logged Event
"
"Security Alarm
","Jacobs Hall
","2/16/2024
","2402160020
","2/16/2024
","7:15 AM
",,"Checks OK
"
"Welfare Check
","Cuzco House
","2/16/2024
","2402160024
","2/16/2024
","8:54 AM
","Per El Cajon Police Department, female involved in domestic violence incident left scene and
","Unable to Locate
"
"Illegal Camping
","Torrey Pines Center North
","2/16/2024
","2402160026
","2/16/2024
","9:24 AM
","Subject possibly living in maintenance room
","Gone on Arrival
"
"Domestic Argument Incident
","Parking Lot P203
","2/16/2024
","2024‐0345
","2/16/2024
","11:10 AM
","Male and female involved in verbal argument with the propensity of violence in the future
","Report Taken
"
"Information
","La Jolla Village Drive/ Interstate 5 Northbound
","2/16/2024
","2402160032
","2/16/2024
","11:36 AM
","Via 911; caller advising traffic due to construction in area
","Information Only
"
"Incomplete/ Accidental Wireless 911 Call
","UCSD Police Department
","2/16/2024
","2402160033
","2/16/2024
","12:11 PM
",,"Logged Event
"
"Incomplete/ Accidental Landline 911 Call
","Stein Clinical Research Building
","2/16/2024
","2402160034
","2/16/2024
","12:28 PM
",,"Logged Event
"
"Medical Aid
","Stein Clinical Research Building
","2/16/2024
","2402160035
","2/16/2024
","1:00 PM
","Female hyperventilating, possibly having panic attack
","Transported to Hospital
"
"Medical Aid
","Blake Hall
","2/16/2024
","2402160037
","2/16/2024
","1:27 PM
","Female having difficulty breathing
","Referred to Other Agency ‐ San Diego Fire Department
"
"Hazard Situation
","Café Ventanas
","2/16/2024
","2402160040
","2/16/2024
","1:50 PM
","Six males practicing parkour
","Will Cooperate
"
"Incomplete/ Accidental Wireless 911 Call
","UCSD Police Department
","2/16/2024
","2402160041
","2/16/2024
","1:57 PM
",,"Logged Event
"
"Petty Theft ‐ Micro Mobility Device
","Asia Hall
","2/16/2024
","2402160042
","2/15/2024 ‐ 2/16/2024
","10:00 PM ‐ 11:00 AM
","Stolen electric bicycle, loss $1300
","Information Only
"
"Hit and Run Collision ‐ Non Injury
","Torrey Pines Center South
","2/16/2024
","2024‐0346
","2/12/2024 ‐ 2/16/2024
","Unknown
",,"Report Taken
"
"Disturbance
","La Jolla Village Drive/ Villa la Jolla Drive
","2/16/2024
","2402160045
","2/16/2024
","2:41 PM
","Subject in median trying to wash vehicle's windshield
","Referred to Other Agency ‐ San Diego Police Department
"
"Citizen Contact
","UCSD Police Department
","2/16/2024
","2402160050
","2/16/2024
","4:10 PM
","Property pick‐up
","Service Provided
"
"Information Only Report
","ACTRI
","2/16/2024
","2024‐0348
","2/15/2024
","Unknown
","Employee made verbal threats towards coworker
","Report Taken
"
"Shoplifting / Outside Agency Warrant Arrest
","Price Center Plaza
","2/16/2024
","2024‐0347
","2/16/2024
","4:15 PM ‐ 4:42 PM
","Subject took merchandise from bookstore, loss $32.00
","Closed By Adult Arrest
"
"Citizen Flagdown
","Price Center West ‐ Jamba Juice
","2/16/2024
","2402160054
","2/16/2024
","4:51 PM
","Subject taking photographs of women
","Field Interview
"
"Medical Aid
","Moores Cancer Center
","2/16/2024
","2402160055
","2/16/2024
","5:04 PM
","Patient transport
","Referred to Other Agency ‐ San Diego Fire Department
"
"Trespass
","La Jolla Farms Road
","2/16/2024
","2402160056
","2/16/2024
","5:18 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Non Injury Collision
","Biomedical Sciences Way
","2/16/2024
","2024‐0349
","2/16/2024
","5:12 PM ‐ 6:15 PM
",,"Report Taken
"
"Disturbance ‐ Psych Subject
","Argo Hall
","2/16/2024
","2402160058
","2/16/2024
","5:42 PM
","Student with suicidal ideations
","Referred to Other UCSD Department ‐ Triton CORE
"
"Trespass
","Muir Field
","2/16/2024
","2402160062
","2/16/2024
","6:50 PM
","Twelve to fifteen soccer players on field closed for cricket practice
","Will Cooperate
"
"Grand Theft
","Pepper Canyon Apartments
","2/16/2024
","2402160063
","2/15/2024
","4:00 PM ‐ 11:30 PM
","Reporting party left room unlocked, iPad and Nintendo Switch now missing, requesting phone
","Unable to Contact
"
"Outside Agency Arrest Warrant
","Trolley ‐ Central Campus Station
","2/16/2024
","2024‐0350
","2/16/2024
","7:14 PM ‐ 8:12 PM
","Two subjects contacted for smoking marijuana on campus
","Closed by Adult Arrest
"
"Injury
","Canyonview Aquatic & Climbing Wall Facility
","2/16/2024
","2402160065
","2/16/2024
","7:23 PM
","Female injured while playing water polo
","Checks OK
"
"Incomplete/ Accidental Wireless 911 Call
","University Center
","2/16/2024
","2402160068
","2/16/2024
","8:34 PM
",,"Logged Event
"
"Petty Theft ‐ Micro Mobility Device
","10065 Scholars Drive North
","2/16/2024
","2024‐0355
","2/15/2024
","2:10 PM ‐ 4:50 PM
","Electric scooter stolen, loss $280.00
","Online Report
"
"Illegal Parking
","Parking Lot P201
","2/16/2024
","2402160078
","2/16/2024
","10:20 PM
",,"Checks OK
"
"Impounded Drugs
","Catalyst
","2/16/2024
","2024‐0353
","2/16/2024
","10:22 PM
","Student in possession of vape device for marijuana
","Report Taken
"
"Alcohol Contact
","Harlan Hall
","2/16/2024
","2402160080
","2/16/2024
","10:51 PM
","Underage drinking
","Referred to Student Conduct
"
"Welfare Check
","Club Med
","2/16/2024
","2402160081
","2/16/2024
","10:57 PM
","Unknown male on scooter, loitering and seemed lost and stated he was drunk
","Unable to Locate
"
"Injury
","Harlan Hall
","2/16/2024
","2024‐0356
","2/16/2024
","11:16 PM ‐ 11:38 PM
","Student injured eye on metal door
","Transported to Hospital
"
"Assist Other Agency
","UCSD Police Department
","2/16/2024
","2402160088
","2/16/2024
","11:44 PM
","San Diego Police attempting to locate student who made suicidal comments to friend
","Service Provided
"
"Suspicious Circumstances
","Seventh College West #1
","3/27/2024
","2403270003
","3/27/2024
","12:47 AM
","Reporting party saw a female running into building and was then asked by 2 men if he saw
","Checks Ok
"
"Suspicious Person
","Price Center East - Triton Steps
","3/27/2024
","2403270004
","3/27/2024
","12:48 AM
","Unknown male near a UCSD golf cart
","Unable to Locate
"
"Mental Health Detention
","Africa Hall
","3/27/2024
","2024-0634
","3/27/2024
","9:08 AM-10:27 AM
","Report of male with knife inside waistband and talking to himself
","Transported to Hospital
"
"Citizen Assist
","South Parking Structure
","3/27/2024
","2403270019
","3/27/2024
","9:49 AM
","Caller requesting assistance buying a parking permit
","Service Provided
"
"Incomplete/Accidental Wireless 911 Call
","Genesee Avenue
","3/27/2024
","2403270020
","3/27/2024
","10:10 AM
",,"Logged Event
"
"Non Injury Collision
","Design and Innovation Building
","3/27/2024
","2024-0635
","3/27/2024
","10:30 AM
","Box truck hit ballard, leaking deisel fuel
","Referred to Other Agency - San Diego Fire Department
"
"Medical Aid
","Medical Education and Telemedicine
","3/27/2024
","2403270022
","3/27/2024
","12:04 PM
","Adult male lying on the floor, unable to move, conscious and breathing
","Referred to Other Agency - San Diego Fire Department
"
"Incomplete/Accidental Wireless 911 Call
","North Torrey Pines Road
","3/27/2024
","2403270023
","3/27/2024
","12:34 PM
",,"Logged Event
"
"Incomplete/Accidental Wireless 911 Call
","Genesee Avenue
","3/27/2024
","2403270024
","3/27/2024
","12:56 PM
",,"Logged Event
"
"Citizen Contact
","UCSD Police Department
","3/27/2024
","2403270025
","3/27/2024
","1:50 PM
","Property pick-up
","Service Provided
"
"Information
","Gilman Parking Structure
","3/27/2024
","2403270026
","3/27/2024
","14:13
","Report of possible fake plate
","Service Provided
"
"Shoplifting
","Price Center West - Target
","3/27/2024
","2024-0636
","3/27/2024
","3:16 PM
","Suspect took and concealed beverage items and left bypassing all points of sale, loss $7.00
","Report Taken
"
"Medical Aid
","Shiley Eye Institute
","3/27/2024
","2403270030
","3/27/2024
","4:42 PM
","Patient transfer
","Referred to Other Agency - San Diego Fire Department
"
"Medical Aid
","Koman Family Outpatient
","3/27/2024
","2403270031
","3/27/2024
","5:11 PM
","Patient with cardiac rhythm change post operation
","Referred to Other Agency - San Diego Fire Department
"
"Incomplete/Accidental Wireless 911 Call
","Astilla
","3/27/2024
","2403270032
","3/27/2024
","5:26 PM
",,"Logged Event
"
"Drunk Driving
","Torrey Pines Gliderport
","3/27/2024
","2403270033
","3/27/2024
","5:54 PM
","Male drinking beer in vehicle
","Referred to Other Agency - San Diego Police Department
"
"Information Only
","UCSD Medical Center - Hillcrest
","3/27/2024
","2024-0637
","3/27/2024
","5:30pm
","Per psychiatrist, concerned for student who made death threats towards another during phone
","Report Taken
"
"Hazard Situation
","Urey Hall
","3/27/2024
","2403270035
","3/27/2024
","6:22 PM
","Group trick biking and skateboarding while filming
","Will Cooperate
"
"Petty Theft - Bicycle
","Cala
","3/27/2024
","2024-0639
","2/13/2024 - 2/29/2024
","1:11 PM - 11:50 AM
","Secured bicycle stolen from 5th floor bike racks, loss $500.00
","Online Report
"
"Fire Alarm
","Sulpizio Cardiovascular Center
","3/27/2024
","LJ24-03-26-0213
","9:00 AM
","3/26/2024
","Unknown person smoking vape inside restroom triggered fire alarm
","Hospital Incident Report Taken
"
"Suspicious Person
","Price Center East ‐ Commuter Lounge
","3/3/2024
","2403030001
","3/3/2024
","12:03 AM
","Sleeper
","Verbal Warning Issued
"
"Fire Alarm
","Europe Hall
","3/3/2024
","2403030003
","3/3/2024
","12:11 AM
",,"False Alarm
"
"Noise Disturbance
","Marshall Upper Apartments
","3/3/2024
","2403030006
","3/3/2024
","12:23 AM
","Loud stomping and shouting
","Referred to Student Conduct
"
"Disturbance ‐ Vehicle
","Justice Lane
","3/3/2024
","2403030008
","3/3/2024
","1:17 AM
","Loud music coming from vehicle
","Will cooperate
"
"Marijuana Contact
","Stewart Hall
","3/3/2024
","2403030010
","3/3/2024
","1:32 AM
",,"Referred to Student Conduct
"
"Noise Disturbance
","Brown Hall
","3/3/2024
","2403030013
","3/3/2024
","2:33 AM
","Group males outside fighting, left area in unknown direction
","Quiet on Arrival
"
"Suspicious Circumstances
","Europe Hall
","3/3/2024
","2403030017
","3/3/2024
","5:03 AM
","Unknown subject knocking on suite door aggressively
","Quiet on Arrival
"
"Illegal Camping
","Design and Innovation
","3/3/2024
","2403030019
","3/3/2024
","7:45 AM
","Reporting party advised subject sleeping in the restroom
","Field Interview
"
"Welfare Check
","Harlan Hall
","3/3/2024
","2403030022
","3/3/2024
","11:15 AM
","Reporting party received Instagram friend request from what appeared to be a new
","Checks OK
"
"Shoplifting
","Price Center West ‐ Target
","3/3/2024
","2204‐0475
","3/3/2024
","11:30 AM ‐ 12:00 PM
","Unknown male suspect stole energy drinks and headphones, loss $388.89
","Report Taken
"
"Incomplete/Accidental Wireless 911 Call
","Blake Hall
","3/3/2024
","2403030026
","3/3/2024
","12:06 PM
",,"Logged Event
"
"Incomplete/Accidental Landline 911 Call
","Mosaic
","3/3/2024
","2403030029
","3/3/2024
","1:51 PM
",,"Logged Event
"
"Disturbance
","Gilman Parking
","3/3/2024
","2403030030
","3/3/2024
","1:57 PM
","Group of students dancing and littering in area
","Will Cooperate
"
"Fire
","Scripps Memorial Hospital
","3/3/2024
","2403030031
","3/3/2024
","2:17 PM
","Dark smoke seen coming from building
","Referred to Other Agency ‐ San Diego Fire Department
"
"Security Alarm
","Student Services Center
","3/3/2024
","2403030034
","3/3/2024
","3:35 PM
",,"False Alarm
"
"Non Injury Collision
","La Jolla Village Drive/Villa La Jolla Drive
","3/3/2024
","2403030035
","3/3/2024
","3:39 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Non Injury Collision
","Gilman Crosswalk/ Wong Library
","3/3/2024
","2024‐0476
","3/2/2024
","3:20 PM
","Scooter vs. Vehicle
","Report Taken
"
"Vandalism
","Tdlln ‐ Sankofa
","3/3/2024
","2024‐0477
","2/18/2024 ‐ 3/3/2024
","Unknown ‐ 4:27 PM
","Unknown suspect(s) used force to damage an unoccupied bedroom door
","Report Taken
"
"Missing Vehicle
","Campus Point Parking West
","3/3/2024
","2403030040
","3/3/2024
","5:16 PM
","Reporting party forgot which parking structure vehicle was parked in
","Service Provided
"
"Attempt to Contact
","Rita Atkinson Residences
","3/3/2024
","2403030041
","3/3/2024
","5:42 PM
","Parent unable to contact student
","Service Provided
"
"Found Property
","Catalyst
","3/3/2024
","2403030042
","3/3/2024
","5:55 PM
","Marijuana gummies found
","Information Only
"
"Under Influence of Drugs
","El Cajon, California
","3/3/2024
","2403030044
","3/3/2024
","6:41 PM
","Via 911, caller reporting kids using drugs at house in El Cajon, California
","Referred to Other Agency ‐ El Cajon Police Department
"
"Incomplete/Accidental Wireless 911 Call
","North Torrey Pines Road
","3/3/2024
","2403030047
","3/3/2024
","7:53 PM
",,"Logged Event
"
"Incomplete/Accidental Landline 911 Call
","Kaleidoscope
","3/3/2024
","2403030053
","3/3/2024
","9:23 PM
",,"Logged Event
"
"Citizen Contact
","Genesee Avenue
","3/3/2024
","2403030057
","3/3/2024
","9:55 PM
","Looking for a family member who had an accident at 3pm
","Referred to Other Agency ‐ San Diego Fire Department
"
"UC Policy Violation
","Seventh College
","3/3/2024
","2403030060
","3/3/2024
","10:20 PM
","Group of 15 students smoking upstairs on the terrace
","Referred to Student Conduct
"
"Assault
","UCSD Medical Center ‐ Hillcrest
","3/3/2024
","HC24‐03‐02‐0210
","3/2/2024
","7:45 AM
","Patient made verbal threats and threw an inhaler towards the nurse
","Information Only
"
"Petty Theft
","Argo Hall
","3/12/2024
","2024‐0556
","3/7/2004
","4:45 PM
","Secured bicycle stolen, loss $200.00
","Unable to Locate
"
"Noise Disturbance
","Cala
","3/12/2024
","2403120001
","3/12/2024
","12:08 AM
","Loud music
","Unable to Locate
"
"Medical Aid
","Frankfurter Hall
","3/12/2024
","2403120003
","3/12/2024
","12:41 AM
","Subject having abdominal pain
","Referred to Other Agency ‐ San Diego Fire Department
"
"Found Property
","Exchange
","3/12/2024
","2403120004
","3/12/2024
","12:48 AM
","Found suitcase and laundry bad
","Service Provided
"
"Noise Disturbance
","Tioga Hall
","3/12/2024
","2403120006
","3/12/2024
","1:03 AM
","Group playing basketball
","Unable to Locate
"
"Fire Alarm Trouble
","TDLLN ‐ Podemos
","3/12/2024
","2403120013
","3/12/2024
","6:02 AM
","Student's smoke detector inside suite going off and on in absence of smoke or fire, chronic issue
","Referred to Other UCSD Department ‐ Housing Maintenance
"
"Security Alarm
","Powell‐Focht Bioengineering Hall
","3/12/2024
","2403120018
","3/12/2024
","7:13 AM
",,"False Alarm
"
"Welfare Check
","Preuss School
","3/12/2024
","2403120021
","3/12/2024
","8:27 AM
","Unknown adult male in school parking lot, appears unstable, talking to self and rambling
","Service Provided
"
"Burglary
","Extended Studies A
","3/12/2024
","2024‐0532
","3/11/2024 ‐ 3/12/2024
","8:30 PM ‐ 8:47 AM
","Unknown suspect(s) forced entry into building and stole miscellaneous items from several
","False Alarm
"
"Incomplete/ Accidental Wireless 911 Call
","Genesee Avenue
","3/12/2024
","2403120024
","3/12/2024
","8:53 AM
",,"Logged Event
"
"Citizen Contact
","Pacific Beach
","3/12/2024
","2403120027
","3/12/2024
","9:16 AM
","Lost phone on Lyft
","Service Provided
"
"Campus Security Authority Report
","UCSD Residential Area
","3/12/2024
","2024‐0535
","3/12/2024
","9:20 AM
","Complainant reported being digitally penetrated without consent
","Referred to Other UCSD Department ‐ Office for the Prevention of Harassment & Discrimination
"
"Disturbance
","Geisel Library
","3/12/2024
","2403120030
","3/12/2024
","9:51 AM
","Reporting party upset other party is not allowing him to set up table
","Service Provided
"
"Incomplete/ Accidental Wireless 911 Call
","Regents Rd/ Regents Park Row
","3/12/2024
","2403120032
","3/12/2024
","10:32 AM
",,"Logged Event
"
"Welfare Check
","Price Center East
","3/12/2024
","2403120037
","3/12/2024
","11:02 AM
","Via 911; young adult female vomiting
","Referred to Other Agency ‐ San Diego Fire Department
"
"Hit & Run Collision ‐ Non Injury
","Ola Parking
","3/12/2024
","2024‐0533
","3/11/2024 ‐ 3/12/2024
","3:45 PM ‐ 8:45 AM
",,"Report Taken
"
"Petty Theft ‐ Bicycle
","Argo Hall
","3/12/2024
","2024‐0556
","3/7/2024
","4:45 AM
","Secured bicycle stolen, loss $200.00
","Online Report
"
"Possession of Drugs
","Student Services Center
","3/12/2024
","2403120044
","3/12/2024
","12:43 PM
","Report of someone possibly doing drugs inside men's restroom
","Checks OK
"
"Petty Theft ‐ Micro Mobility Device
","Lyman Lane
","3/12/2024
","2024‐0536
","3/12/2024
","3:25 PM ‐ 7:25 PM
","Secured electric scooter stolen, loss $350.00
","Online Report
"
"Citizen Contact
","UCSD Police Department
","3/12/2024
","2403120047
","3/12/2024
","2:18 PM
","Property pick‐up
","Service Provided
"
"Hit and Run Collision ‐ Non Injury
","Gilman Parking
","3/12/2024
","2024‐0534
","3/12/2024
","10:00 AM ‐ 11:30 AM
",,"Report Taken
"
"Suspicious Vehicle
","Mesa Canyon Parking Structure
","3/12/2024
","2403120051
","3/12/2024
","5:21 PM
","Report of vehicle parked in spot for six weeks
","Checks OK
"
"Use of Restricted Access Facility
","Halicioglu Data Science Institute
","3/12/2024
","2024‐0537
","3/12/2024
","5:20 PM ‐ 7:05 PM
","Report of non‐affiliate squatting inside building, on going problem
","Citation Issued
"
"Non Injury Collision
","Hopkins Drive/ North Point Lane
","3/12/2024
","2024‐0538
","3/12/2024
","6:07 PM ‐ 7:05 PM
",,"Report Taken
"
"Incomplete/ Accidental Wireless 911 Call
","Jacobs Medical Center
","3/12/2024
","2403120056
","3/12/2024
","7:54 PM
",,"Logged Event
"
"Welfare Check
","Catalyst
","3/12/2024
","2403120057
","3/12/2024
","8:47 PM
","Parent unable to get into contact with student
","Checks OK
"
"Discharging a Firearm
","Regents Road
","3/12/2024
","2403120059
","3/12/2024
","9:39 PM
","Via 911; report of gun shots heard on Executive Drive
","Referred to Other Agency ‐ San Diego Police Department
"
"Marijuana Contact
","Africa Hall
","3/12/2024
","2403120061
","3/12/2024
","9:55 PM
","Odor of marijuana
","Referred to Student Conduct
"
"Suspicious Person
","Discovery Hall
","3/12/2024
","2403120063
","3/12/2024
","9:59 PM
","Male asking females if they are interested in him and making them feel uncomfortable
","Unable to Locate
"
"Suspicious Person
","One Miramar Street, Building 2
","3/12/2024
","2403120064
","3/12/2024
","10:04 PM
","Non‐Affiliate inside laundry room
","Checks OK
"
"Theft from Motor Vehicle / Fraudulent use of Credit Card
","One Miramar Street, Parking Garage
","3/12/2024
","2024‐0541
","3/2/2024
","5:00 PM ‐ 8:42 PM
","Unknown suspect(s) stole several items from victim's unlocked vehicle, including victim's credit
","Report Taken
"
"Welfare Check
","Mandell Weiss Forum
","3/12/2024
","2403120069
","3/12/2024
","11:13 PM
","Student injected too much insulin and is experiencing low blood sugar
","Checks OK
"
"Noise Disturbance
","Tapestry
","3/12/2024
","2403120070
","3/12/2024
","11:19 PM
","Someone playing on drum set
","Referred to Student Conduct
"
"Drunk in Public
","Canyon Vista
","3/12/2024
","2403120071
","3/12/2024
","11:58 PM
","Unknown subject attempted to climb off the ledge of building
","Gone On Arrival
"
"Security Alarm
","Leichtag Family Foundation
","2/23/2024
","2402230001
","2/23/2024
","12:15 AM
",,"False Alarm
"
"Noise Disturbance
","Kaleidoscope
","2/23/2024
","2402230002
","2/23/2024
","1:00 AM
","Loud music
","Referred to Student Conduct
"
"Information
","Miramar St
","2/23/2024
","2402230006
","2/23/2024
","2:32 AM
","Ringing alarm
","Referred to Other UCSD Department ‐ Housing Maintenance
"
"Noise Disturbance
","Brennan Apartments
","2/23/2024
","2402230008
","2/23/2024
","3:13 AM
","Loud music from second floor
","Referred to Student Conduct
"
"Suspicious Person
","La Jolla del Sol Apartments
","2/23/2024
","2402230019
","2/23/2024
","8:09 AM
","Two subjects carrying miscellaneous items around complex
","Unable to Locate
"
"Grand Theft ‐ Micro Mobility Device
","Mesa Apartments South
","2/23/2024
","2024‐0395
","2/23/2024
","2:00 AM ‐ 7:30 AM
","Secured electric scooter stolen, loss $1,819.00
","Report Taken
"
"Injury
","North Torrey Pines Road/La Jolla Shores Drive
","2/23/2024
","2402230022
","2/23/2024
","9:03 AM
","Subject fell off scooter
","Referred to Other Agency ‐ San Diego Fire Department
"
"Medical Aid
","Garden View Road
","2/23/2024
","2402230025
","2/23/2024
","9:25 AM
","Patient transport
","Referred to Other Agency ‐ San Diego Fire Department
"
"Welfare Check
","Extended Studies J
","2/23/2024
","2402230026
","2/23/2024
","9:33 AM
","Subject talking to himself
","Checks OK
"
"Probation Violation/ Drug Law Arrest / Receive Known Stolen Property
","Cognitive Sciences Building
","2/23/2024
","2024‐0396
","2/23/2024
","10:18 AM
","Non‐affiliate male contacted after report of transient camp inside stairwell
","Closed by Adult Arrest
"
"Excessive Alcohol/Drug Public: Overintoxication
","Preuss School
","2/23/2024
","2024‐0398
","2/23/2024
","11:19 AM
","Juvenile male under influence of intoxicating liquor and unable to care for self or others
","Transported to Hospital
"
"Incomplete/ Accidental Wireless 911 Call
","Ridge Walk Academic Building
","2/23/2024
","2402230037
","2/23/2024
","12:00 PM
",,"Logged Event
"
"Petty Theft ‐ Micro Mobility Device
","Asia Hall
","2/23/2024
","2024‐0400
","2/22/2024 ‐ 2/23/2024
","1:10 AM ‐ 10:00 AM
","Secured electric bicycle stolen, loss $800.00
","Report Taken
"
"Disturbance
","La Jolla Village Drive
","2/23/2024
","2402230039
","2/23/2024
","12:21 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Shoplifting
","Price Center West ‐ Target
","2/23/2024
","2024‐0399
","2/23/2024
","10:06 AM ‐ 10:08 AM
","Unknown suspect entered business with empty suitcase and stole multiple beverage items, loss
","Report Taken
"
"Incomplete/ Accidental Wireless 911 Call
","Pepper Canyon Hall
","2/23/2024
","2402230042
","2/23/2024
","12:50 PM
",,"Logged Event
"
"Incomplete/ Accidental Landline 911 Call
","Brisa
","2/23/2024
","2402230044
","2/23/2024
","1:44 PM
",,"Logged Event
"
"Non Injury Collision
","Villa la Jolla Dr
","2/23/2024
","2402230045
","2/23/2024
","2:40 PM
",,"Information Only
"
"Indecent Exposure
","Conrad Prebys Music Center
","2/23/2024
","2402230046
","2/23/2024
","2:47 PM
","Male seen urinating in courtyard
","Gone On Arrival
"
"Battery
","Moores Cancer Center
","2/23/2024
","2024‐0401
","2/23/2024
","1:50 PM
","Employee hit in face with pillow by co‐worker
","Report Taken
"
"Citizen Contact
","Parking Lot P707
","2/23/2024
","2402230049
","2/23/2024
","3:48 PM
","Request for directions
","Service Provided
"
"Incomplete/ Accidental Wireless 911 Call
","Brisa
","2/23/2024
","2402230055
","2/23/2024
","5:28 PM
",,"Logged Event
"
"Lost Property
","Russell Lane/Villa La Jolla Drive
","2/23/2024
","2402230056
","2/23/2024
","5:39 PM
","Lost wallet
","Service Provided
"
"Incomplete/ Accidental Wireless 911 Call
","Gilman Dr
","2/23/2024
","2402230057
","2/23/2024
","5:51 PM
",,"Logged Event
"
"Unknown Trouble
","Ritter Hall
","2/23/2024
","2402230058
","2/23/2024
","6:30 PM
","Three calls from callbox, nothing heard
","Checks OK
"
"Incomplete/ Accidental Landline 911 Call
","Tapestry
","2/23/2024
","2402230062
","2/23/2024
","7:27 PM
",,"Logged Event
"
"Mental Health Detention/ Trespass: Rail Transit Property
","Trolley ‐ Central Campus Station
","2/23/2024
","2024‐0403
","2/23/2024
","8:48 PM ‐ 11:22 PM
","Officer observed male subject walking on trolley tracks
","Transported to Hospital
"
"Incomplete/ Accidental Landline 911 Call
","Gilman Drive
","2/23/2024
","2402230070
","2/23/2024
","9:14 PM
",,"Logged Event
"
"Disturbance
","Oceania Hall
","2/23/2024
","2402230073
","2/23/2024
","10:00 PM
","Stomping and screaming heard along with items being thrown
","Referred to Student Conduct
"
"Disturbance ‐ Domestic Violence
","North Torrey Pines Road
","2/23/2024
","2402230081
","2/23/2024
","11:15 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Noise Disturbance
","Miramar Street
","2/28/2024
","2402280002
","2/28/2024
","12:18 AM
",,"Referred to Student Conduct
"
"Noise Disturbance
","Seventh College West
","2/28/2024
","2402280009
","2/28/2024
","1:55 AM
",,"Gone On Arrival
"
"Incomplete/ Accidental Wireless 911 Call
","Gilman Drive
","2/28/2024
","2402280010
","2/28/2024
","2:44 AM
",,"Logged Event
"
"Citizen Assist
","Geisel Library
","2/28/2024
","2402280011
","2/28/2024
","2:51 AM
","Subject upset he is not being let into the library
","Field Interview
"
"Noise Disturbance
","Asia Hall
","2/28/2024
","2402280012
","2/28/2024
","3:02 AM
",,"Quiet On Arrival
"
"Incomplete/ Accidental Landline 911 Call
","Gilman Drive
","2/28/2024
","2402280017
","2/28/2024
","6:58 AM
",,"Logged Event
"
"Property Damage
","Matthews Shop
","2/28/2024
","2024‐0443
","2/28/2024
","3:15 PM
","Motorist of UC vehicle sideswiped a pole, causing damage to vehicle door
","Report Taken
"
"Domestic Violence Assault ‐ Simple Battery / Mental Health Detention
","UCSD Residential Area
","2/28/2024
","2024‐0442
","2/28/2024
","7:40 AM ‐ 10:20 AM
","Suspect physically assaulted spouse during argument causing minor injury, during investigation
","Closed By Adult Arrest
"
"Vandalism
","Trolley ‐ Campus Central Station
","2/28/2024
","2024‐0448
","2/28/2024
","7:45 AM
","Graffiti inside elevator
","Online Report
"
"Unknown Injury Collision
","La Jolla Village Dr/ Interstate 5
","2/28/2024
","2402280021
","2/28/2024
","7:56 AM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Fire Alarm
","Argo Hall
","2/28/2024
","2402280022
","2/28/2024
","8:01 AM
","Set off by toaster
","Checks OK
"
"Incomplete/ Accidental Landline 911 Call
","UC San Diego
","2/28/2024
","2402280033
","2/28/2024
","9:21 AM
",,"Logged Event
"
"Medical Aid
","Preuss School
","2/28/2024
","2402280037
","2/28/2024
","9:40 AM
","Ambulance requested for student involved in bus accident earlier in morning
","Referred to Other Agency ‐ San Diego Fire Department
"
"Incomplete/ Accidental Wireless 911 Call
","Jacobs Medical Center
","2/28/2024
","2402280038
","2/28/2024
","9:50 AM
",,"Logged Event
"
"Burglary
","School of Medicine Building
","2/28/2024
","2024‐0445
","2/27/2024 ‐ 2/28/2024
","4:00 PM ‐ 9:30 AM
","Subject entered office via window and stole multiple electronic items, a backpack and tools, loss
","Report Taken
"
"Incomplete/ Accidental Wireless 911 Call
","Genesee Avenue
","2/28/2024
","2402280040
","2/28/2024
","10:49 AM
",,"Logged Event
"
"Incomplete/ Accidental Landline 911 Call
","UC San Diego
","2/28/2024
","2402280043
","2/28/2024
","11:08 AM
",,"Logged Event
"
"Suspicious Person
","Mesa Verde Hall
","2/28/2024
","2402280044
","2/28/2024
","11:11 AM
","Subject with bolt cutters
","Gone On Arrival
"
"Medical Aid
","Descoto Court
","2/28/2024
","2402280045
","2/28/2024
","11:29 AM
",,"Referred to Other Agency ‐ San Diego Fire Department
"
"Incomplete/ Accidental Landline 911 Call
","Tapestry
","2/28/2024
","2402280048
","2/28/2024
","12:39 PM
",,"Logged Event
"
"Arson
","Miramar Street
","2/28/2024
","2024‐0446
","2/28/2024
","1:17 PM ‐ 4:34 PM
","Unknown suspect(s) started multiple fires within two inhabited residential structures, no
","Report Taken
"
"Suspicious Person
","Catalyst
","2/28/2024
","2402280057
","2/28/2024
","2:54 PM
","Possible unhoused male seen inside elevator heading to 3rd floor
","Information Only
"
